,Made Donation in March 2007
659,4.00E-01
276,4.00E-01
263,4.00E-01
303,4.00E-01
83,4.00E-01
500,4.00E-01
530,4.00E-01
244,4.00E-01
249,4.00E-01
728,4.00E-01
129,4.00E-01
534,4.00E-01
317,4.00E-01
401,4.00E-01
696,4.00E-01
192,4.00E-01
176,4.00E-01
571,4.00E-01
139,4.00E-01
423,6.00E-01
563,6.00E-01
56,4.00E-01
528,6.00E-01
101,6.00E-01
467,4.00E-01
382,4.00E-01
466,4.00E-01
294,4.00E-01
512,4.00E-01
659,4.00E-01
389,4.00E-01
487,4.00E-01
701,4.00E-01
419,4.00E-01
536,4.00E-01
240,4.00E-01
508,4.00E-01
515,4.00E-01
283,4.00E-01
650,4.00E-01
65,4.00E-01
228,4.00E-01
741,6.00E-01
297,4.00E-01
464,4.00E-01
63,6.00E-01
231,4.00E-01
28,4.00E-01
248,4.00E-01
357,4.00E-01
300,4.00E-01
726,4.00E-01
680,4.00E-01
520,4.00E-01
254,6.00E-01
582,4.00E-01
143,4.00E-01
98,4.00E-01
1,4.00E-01
221,4.00E-01
352,4.00E-01
64,4.00E-01
138,4.00E-01
745,4.00E-01
64,4.00E-01
688,4.00E-01
623,4.00E-01
289,4.00E-01
174,4.00E-01
690,4.00E-01
105,4.00E-01
427,6.00E-01
48,4.00E-01
14,4.00E-01
657,4.00E-01
301,4.00E-01
455,6.00E-01
579,4.00E-01
722,4.00E-01
98,4.00E-01
491,4.00E-01
303,4.00E-01
466,4.00E-01
65,4.00E-01
300,4.00E-01
9,4.00E-01
622,4.00E-01
323,4.00E-01
289,4.00E-01
568,6.00E-01
290,4.00E-01
156,4.00E-01
464,4.00E-01
426,4.00E-01
306,4.00E-01
4,4.00E-01
12,4.00E-01
187,4.00E-01
406,4.00E-01
96,6.00E-01
509,4.00E-01
733,6.00E-01
548,4.00E-01
478,6.00E-01
501,4.00E-01
127,4.00E-01
199,4.00E-01
299,4.00E-01
162,4.00E-01
235,4.00E-01
23,4.00E-01
473,4.00E-01
487,4.00E-01
683,6.00E-01
303,4.00E-01
309,4.00E-01
569,4.00E-01
34,4.00E-01
686,4.00E-01
84,4.00E-01
733,6.00E-01
537,6.00E-01
181,4.00E-01
453,4.00E-01
67,4.00E-01
161,4.00E-01
307,4.00E-01
703,4.00E-01
181,4.00E-01
246,6.00E-01
316,4.00E-01
278,4.00E-01
346,6.00E-01
545,4.00E-01
419,4.00E-01
694,4.00E-01
622,4.00E-01
663,4.00E-01
262,4.00E-01
461,4.00E-01
373,4.00E-01
233,4.00E-01
466,4.00E-01
207,4.00E-01
263,4.00E-01
16,4.00E-01
513,4.00E-01
449,4.00E-01
429,6.00E-01
701,4.00E-01
632,4.00E-01
529,6.00E-01
245,4.00E-01
344,4.00E-01
353,6.00E-01
241,4.00E-01
633,4.00E-01
624,4.00E-01
726,4.00E-01
189,4.00E-01
138,4.00E-01
402,4.00E-01
511,6.00E-01
590,6.00E-01
334,4.00E-01
447,6.00E-01
119,4.00E-01
389,4.00E-01
644,4.00E-01
423,6.00E-01
131,4.00E-01
405,4.00E-01
82,6.00E-01
643,4.00E-01
156,4.00E-01
617,4.00E-01
574,4.00E-01
272,4.00E-01
613,4.00E-01
545,4.00E-01
685,4.00E-01
570,6.00E-01
537,6.00E-01
691,4.00E-01
85,4.00E-01
483,4.00E-01
455,6.00E-01
93,4.00E-01
744,4.00E-01
33,4.00E-01
321,4.00E-01
523,4.00E-01
426,4.00E-01
196,4.00E-01
301,4.00E-01
103,4.00E-01
224,6.00E-01
454,4.00E-01
585,4.00E-01
154,4.00E-01
